ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,XIAO ESP32C3,U4,COMM-SMD_KQ-2801_V106,1,XIAO ESP32C3
2,INA219AIDCNR,U2,SOT-23-8,1,INA219AIDCNR
3,10Kê,"R1,R3",0805,2,TC0550F1002T5E
4,0.1,R5,2512,1,MA251220JR100FZ
5,100nF,C1,0805,1,0805F104M101NT
6,PH-4P,CONP_4PIN,CONN-SMD_PH2.0-4P,1,PH-4P
7,2.0-3P SMD 3P,CON_LEDS,CONN-SMD_3P-LT,1,PH-3P??
8,AO3401A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A
9,MMBT3904,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,MMBT3904(RANGE:100-300)
10,WAFER-PH2.0-2PLB,CHARGING,CONN-TH_2P-P2.00_XUNPU_WAFER-PH2.0-2PLB,1,WAFER-PH2.0-2PLB
11,KF142V-5.08-2P,CON_AC,CONN-TH_P5.08_KF142V-5.08-2P,1,KF142V-5.08-2P
12,MST 2A 250V,F2,FUSE-TH_L8.4-W4.3-P5.08-D1.0,1,MST 2A 250V
13,CNR-10D561K,R10,RES-TH_L12.5-W5.5-P7.50-D0.8-S5.50,1,CNR-10D561K
14,IRM-10-5,U1,PWRM-TH_4P-L45.7-W25.4-P8.0,1,IRM-10-5
